iter	RMSE
0	6461149.943
1	6096783.409
2	5778005.195
3	5486769.934
4	5242844.088
5	5014156.936
6	4823099.613
7	4655287.237
8	4501833.76
9	4367609.277
10	4247517.681
11	4147815.095
12	4065857.656
13	3981651.505
14	3917384.452
15	3856717.354
16	3801117.99
17	3750441.046
18	3707984.482
19	3668655.599
20	3637317.924
21	3610741.076
22	3580097.361
23	3558195.152
24	3536876.546
25	3515980.1
26	3495612.707
27	3481420.212
28	3465912.376
29	3446935.48
30	3427911.194
31	3409485.762
32	3400954.98
33	3389676.879
34	3377940.746
35	3365747.818
36	3358084.997
37	3347615.437
38	3340327.156
39	3330918.746
40	3320236.751
41	3314871.616
42	3307623.867
43	3298862.026
44	3291599.605
45	3286894.283
46	3270888.446
47	3267759.231
48	3262660.898
49	3257164.434
50	3252569.641
51	3247803.635
52	3244381.588
53	3239058.602
54	3233116.654
55	3229301.482
56	3214857.544
57	3210417.425
58	3207163.191
59	3201879.298
60	3199174.912
61	3190295.672
62	3187974.036
63	3181954.89
64	3177684.323
65	3173578.291
66	3167958.209
67	3163383.183
68	3161120.005
69	3158463.318
70	3152762.197
71	3149898.168
72	3146234.718
73	3138731.166
74	3136482.881
75	3128619.429
76	3122872.978
77	3121304.341
78	3115237.707
79	3107271.196
80	3100739.602
81	3098297.983
82	3096012.01
83	3093546.866
84	3091036.035
85	3086848.71
86	3075361.977
87	3073930.897
88	3071808.49
89	3066361.713
90	3061887.162
91	3057640.167
92	3054180.473
93	3049560.503
94	3046155.982
95	3035680.233
96	3032069.612
97	3023996.585
98	3020132.7
99	3017201.111
100	3009094.715
101	3006007.223
102	3001849.917
103	2997134.592
104	2992547.989
105	2988244.757
106	2984976.497
107	2978784.508
108	2972472.651
109	2965773.789
110	2963089.117
111	2959301.784
112	2954415.383
113	2951666.187
114	2948792.557
115	2945280.76
116	2941575.341
117	2939205.132
118	2932031.52
119	2925498.798
120	2919502.044
121	2912928.391
122	2907432.083
123	2901442.788
124	2898615.201
125	2894035.367
126	2890654.484
127	2886616.592
128	2879342.036
129	2876702.175
130	2874015.408
131	2869518.747
132	2866103.725
133	2864334.806
134	2860029.441
135	2857545.189
136	2854178.526
137	2849825.863
138	2845746.52
139	2842431.346
140	2837633.328
141	2833615.695
142	2831042.43
143	2825579.642
144	2822965.694
145	2819820.664
146	2817321.663
147	2813691.574
148	2809966.995
149	2806937.267
150	2801864.513
151	2798827.632
152	2796263.689
153	2792955.804
154	2790499.666
155	2787967.134
156	2787159.414
157	2783864.672
158	2781984.312
159	2778792.747
160	2776390.339
161	2775050.057
162	2773214.998
163	2771829.918
164	2770405.554
165	2768573.55
166	2764769.619
167	2763524.787
168	2760474.103
169	2757086.321
170	2755000.008
171	2751808.375
172	2746665.724
173	2744656.416
174	2742777.751
175	2738427.674
176	2736261.38
177	2733464.959
178	2729358.49
179	2727075.214
180	2723993.375
181	2720443.239
182	2718189.385
183	2715066.098
184	2712957.315
185	2710309.199
186	2705781.942
187	2703656.434
188	2701067.214
189	2698874.151
190	2697112.683
191	2694463.399
192	2692171.679
193	2688486.287
194	2684746.957
195	2681398.614
196	2679039.181
197	2677049.565
198	2675240.293
199	2673180.043
200	2670383.168
201	2667743.076
202	2665651.442
203	2663105.569
204	2660482.097
205	2658673.999
206	2656880.756
207	2654918.962
208	2653030.437
209	2650630.11
210	2647247.008
211	2645719.758
212	2643564.133
213	2641885.983
214	2640768.177
215	2638982.691
216	2635499.346
217	2633752.385
218	2632241.571
219	2630666.099
220	2629311.34
221	2627852.737
222	2625191.428
223	2623649.486
224	2622802.812
225	2619508.703
226	2616946.702
227	2613657.382
228	2612244.544
229	2610986.572
230	2608050.572
231	2606631.632
232	2605504.844
233	2604150.46
234	2598911.147
235	2596214.178
236	2594360.751
237	2591430.131
238	2587210.555
239	2586330.213
240	2584760.243
241	2580895.857
242	2577758.588
243	2576059.418
244	2573400.757
245	2571541.304
246	2570741.062
247	2568432.323
248	2565673.654
249	2564675.41
250	2563475.469
251	2562374.764
252	2559098.673
253	2557074.5
254	2553907.536
255	2552422.692
256	2550056.147
257	2547514.747
258	2543889.245
259	2542988.11
260	2542193.793
261	2539990.284
262	2537380.315
263	2534645.15
264	2533670.915
265	2532380.32
266	2530698.74
267	2528972.276
268	2527664.546
269	2525935.756
270	2524258.424
271	2524038.761
272	2522249.071
273	2520910.403
274	2518204.142
275	2515878.609
276	2514769.835
277	2512731.3
278	2512609.792
279	2509825.256
280	2508750.592
281	2507195.778
282	2505767.516
283	2501950.571
284	2501532.281
285	2499955.29
286	2498912.34
287	2497645.953
288	2496432.774
289	2495131.163
290	2494127.261
291	2492903.039
292	2490892.611
293	2488414.503
294	2485177.099
295	2483377.615
296	2482292.629
297	2480691.295
298	2480418.399
299	2477931.92
300	2475545.693
301	2472429.615
302	2471475.88
303	2470394.056
304	2467590.13
305	2466680.539
306	2464790.305
307	2463657.261
308	2462227.093
309	2460759.502
310	2458435.019
311	2456192.375
312	2455015.197
313	2452179.71
314	2450052.432
315	2448231.742
316	2447440.091
317	2446220.937
318	2443749.642
319	2441961.187
320	2440103.263
321	2438142.537
322	2436515.851
323	2435623.188
324	2433951.647
325	2432392.289
326	2431086.069
327	2429475.812
328	2428683.74
329	2426251.146
330	2424993.031
331	2422714.522
332	2420727.377
333	2418952.253
334	2417950.825
335	2416543.626
336	2415088.62
337	2412644.146
338	2411805.502
339	2409926.744
340	2407930.401
341	2407006.312
342	2406565.41
343	2405622.875
344	2404331.987
345	2403083.642
346	2401728.187
347	2400104.398
348	2398626.293
349	2397229.866
350	2395121.762
351	2394226.298
352	2392492.941
353	2391720.564
354	2390652.624
355	2390211.601
356	2388646.071
357	2386757.336
358	2384969.361
359	2382996.999
360	2382252.477
361	2380371.472
362	2377527.91
363	2376746.552
364	2375473.436
365	2375058.907
366	2374690.115
367	2373218.129
368	2372435.379
369	2370939.22
370	2370092.426
371	2367302.599
372	2366168.459
373	2364868.251
374	2362744.438
375	2361207.279
376	2359245.607
377	2358296.445
378	2357901.201
379	2355981.929
380	2355034.456
381	2353077.645
382	2352929.722
383	2351291.992
384	2349443.454
385	2348392.603
386	2346855.286
387	2345596.711
388	2344475.855
389	2343347.98
390	2341642.917
391	2340243.3
392	2340152.71
393	2338775.557
394	2337500.962
395	2337067.828
396	2335670.807
397	2334624.036
398	2333062.448
399	2332723.029
400	2331793.284
