iter	Passed	Remaining
0	2	2075
1	5	2028
2	9	2105
3	12	2137
4	15	2117
5	18	2093
6	20	2074
7	23	2071
8	27	2073
9	29	2060
10	32	2052
11	35	2043
12	38	2040
13	41	2040
14	44	2025
15	47	2012
16	49	2004
17	52	2002
18	55	2005
19	58	1997
20	61	1989
21	64	1986
22	67	1981
23	70	1975
24	74	1998
25	77	2020
26	80	2017
27	83	2012
28	87	2015
29	90	2011
30	92	2006
31	95	2000
32	98	1993
33	101	1987
34	104	1984
35	107	1979
36	110	1973
37	112	1968
38	116	1967
39	119	1968
40	122	1967
41	125	1962
42	128	1960
43	131	1956
44	134	1952
45	137	1949
46	140	1947
47	143	1944
48	145	1939
49	149	1938
50	152	1938
51	155	1934
52	158	1932
53	161	1929
54	164	1928
55	167	1923
56	170	1922
57	173	1919
58	176	1916
59	179	1912
60	182	1916
61	186	1914
62	189	1915
63	192	1913
64	196	1915
65	199	1915
66	202	1913
67	205	1910
68	208	1908
69	212	1908
70	215	1906
71	218	1903
72	221	1900
73	224	1898
74	227	1894
75	230	1890
76	233	1886
77	236	1883
78	239	1881
79	242	1877
80	245	1875
81	248	1871
82	251	1867
83	254	1864
84	257	1860
85	260	1857
86	263	1856
87	266	1854
88	269	1852
89	272	1847
90	275	1843
91	278	1839
92	281	1835
93	284	1832
94	287	1828
95	290	1826
96	293	1822
97	296	1820
98	299	1816
99	302	1814
100	305	1812
101	308	1808
102	311	1805
103	314	1801
104	317	1798
105	320	1794
106	323	1791
107	326	1787
108	328	1783
109	331	1780
110	335	1778
111	338	1774
112	340	1770
113	343	1766
114	346	1763
115	349	1759
116	352	1755
117	355	1751
118	358	1749
119	361	1746
120	364	1744
121	367	1742
122	370	1738
123	373	1734
124	376	1731
125	379	1727
126	382	1724
127	385	1721
128	388	1718
129	391	1714
130	394	1712
131	397	1710
132	400	1706
133	403	1703
134	406	1699
135	409	1696
136	412	1693
137	415	1690
138	417	1686
139	420	1683
140	424	1681
141	427	1679
142	430	1676
143	433	1673
144	436	1670
145	439	1667
146	442	1664
147	445	1662
148	448	1660
149	451	1657
150	454	1654
151	458	1651
152	461	1649
153	464	1646
154	467	1643
155	470	1640
156	473	1637
157	476	1634
158	479	1630
159	482	1627
160	485	1624
161	488	1621
162	491	1619
163	495	1618
164	498	1615
165	501	1612
166	504	1608
167	507	1605
168	510	1602
169	512	1599
170	515	1595
171	518	1592
172	521	1589
173	524	1586
174	528	1584
175	531	1581
176	533	1577
177	536	1574
178	539	1571
179	542	1567
180	545	1564
181	548	1561
182	551	1557
183	554	1555
184	557	1552
185	560	1549
186	563	1546
187	566	1542
188	569	1540
189	572	1536
190	575	1532
191	578	1529
192	581	1526
193	584	1524
194	587	1521
195	590	1519
196	593	1515
197	596	1512
198	599	1509
199	602	1505
200	605	1502
201	608	1499
202	611	1496
203	614	1493
204	617	1490
205	620	1487
206	623	1484
207	626	1481
208	629	1478
209	632	1474
210	634	1471
211	637	1467
212	640	1464
213	643	1461
214	646	1457
215	649	1454
216	652	1451
217	655	1449
218	658	1446
219	661	1442
220	664	1439
221	666	1436
222	669	1432
223	672	1429
224	675	1426
225	678	1423
226	681	1420
227	684	1418
228	687	1414
229	690	1411
230	693	1408
231	696	1405
232	699	1402
233	702	1399
234	705	1396
235	708	1393
236	711	1390
237	714	1387
238	718	1385
239	720	1381
240	723	1378
241	726	1375
242	729	1372
243	732	1369
244	735	1366
245	738	1363
246	741	1360
247	744	1356
248	747	1354
249	750	1351
250	753	1348
251	756	1345
252	759	1342
253	762	1338
254	765	1335
255	768	1332
256	771	1329
257	774	1326
258	777	1324
259	781	1322
260	784	1319
261	787	1316
262	790	1313
263	793	1310
264	796	1308
265	799	1304
266	802	1301
267	805	1298
268	808	1295
269	812	1293
270	814	1290
271	817	1286
272	820	1283
273	823	1280
274	826	1277
275	829	1274
276	832	1271
277	835	1268
278	838	1265
279	841	1262
280	845	1260
281	848	1256
282	850	1253
283	853	1250
284	856	1247
285	859	1244
286	862	1241
287	865	1238
288	868	1235
289	871	1231
290	874	1229
291	877	1226
292	880	1222
293	883	1219
294	886	1216
295	889	1213
296	892	1210
297	895	1207
298	898	1204
299	901	1201
300	904	1199
301	907	1196
302	910	1193
303	913	1189
304	916	1186
305	919	1183
306	922	1180
307	925	1177
308	928	1174
309	931	1171
310	934	1169
311	937	1166
312	941	1163
313	944	1160
314	947	1157
315	949	1154
316	952	1151
317	955	1148
318	958	1145
319	961	1142
320	964	1139
321	967	1136
322	970	1132
323	973	1129
324	976	1127
325	979	1124
326	982	1121
327	985	1117
328	988	1114
329	991	1111
330	994	1108
331	997	1105
332	1000	1102
333	1003	1099
334	1006	1096
335	1009	1093
336	1012	1090
337	1015	1087
338	1018	1084
339	1021	1082
340	1024	1078
341	1027	1075
342	1030	1072
343	1033	1070
344	1036	1067
345	1039	1064
346	1042	1060
347	1045	1057
348	1048	1054
349	1051	1051
350	1054	1048
351	1057	1045
352	1060	1042
353	1063	1039
354	1066	1036
355	1070	1034
356	1073	1031
357	1076	1028
358	1079	1025
359	1082	1022
360	1085	1019
361	1088	1015
362	1091	1012
363	1094	1010
364	1097	1007
365	1100	1004
366	1103	1001
367	1106	997
368	1109	994
369	1112	991
370	1115	988
371	1117	985
372	1120	982
373	1123	979
374	1127	976
375	1130	974
376	1133	970
377	1136	967
378	1139	964
379	1142	961
380	1145	958
381	1148	955
382	1151	952
383	1153	949
384	1157	946
385	1160	943
386	1163	940
387	1166	938
388	1169	934
389	1172	931
390	1175	928
391	1177	925
392	1180	922
393	1183	919
394	1186	916
395	1189	913
396	1193	910
397	1196	907
398	1199	904
399	1202	901
400	1205	898
401	1208	895
402	1210	892
403	1213	889
404	1216	886
405	1219	883
406	1222	880
407	1226	877
408	1229	874
409	1231	871
410	1234	868
411	1237	865
412	1240	862
413	1243	859
414	1247	856
415	1250	853
416	1253	850
417	1256	847
418	1259	844
419	1262	841
420	1265	838
