Başlık,Fiyat,Şehir,İlçe,Mahalle,Konut Tipi,Oda Sayısı,Banyo Sayısı,Kat,Kat Sayısı,Bina Yaşı,Isınma Tipi,Eşya Durumu,Yapı Tipi,Yapının Durumu,Aidat,Depozito,Yakıt Tipi,Link,Brüt m2,Net m2,Konut Tipi Encoded,İlçe Encoded,Mahalle Encoded,Isınma Tipi Encoded,Yakıt Tipi Encoded,Yapı Tipi Encoded,Yapının Durumu Encoded,Cephe_Kuzey,Cephe_Güney,Cephe_Doğu,Cephe_Batı,Cephe_Bilinmiyor
ESENYURT CUMHURİYET MAH 1+1 KİRALIK SIFIR SİTE İÇİ ( OTOPARKLI ) METROBÜS YAKINI,12000,0,Esenyurt,Barbaros Hayrettin Paşa Mah.,Daire,2,1,8.0,10.0,0,Merkezi,0,Betonarme,Sıfır,550,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/142108-121,75,55,0,20686.823529411766,19442.30769230769,6,1,0,1,0,1,0,0,0
SIFIR SİTE İÇİ 1+1 KİRALIK DAİRE OTOPARKLI GÜVENLİKLİ SIFIR DAİRE,12000,0,Esenyurt,Mehterçeşme Mah.,Daire,2,1,5.0,5.0,0,Kombi,0,Betonarme,Sıfır,1150,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-kiralik/daire/142108-104,95,70,0,20686.823529411766,15300.0,5,1,0,1,1,1,0,0,0
ESENYURT MEYDANDA MÜKEMMEL KONUMDA MASRAFSIZ 2+1 KİRALIK DAİRE ( ARAKAT ),14000,0,Esenyurt,Yeşilkent Mah.,Daire,3,1,1.0,4.0,3,Kombi,0,Betonarme,İkinci El,350,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-kiralik/daire/142108-97,100,80,0,20686.823529411766,16218.421052631578,5,1,0,2,0,1,0,0,0
Sarıyer Rumelikavağı Mahallesinde Deniz Manzaralık Kiralık Daire,50000,0,Sarıyer,Rumeli Kavağı Mah.,Daire,5,2,3.0,3.0,49,Kombi,0,Betonarme,İkinci El,3500,100000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sariyer-rumeli-kavagi-kiralik/daire/11217-9277,160,150,0,110185.8286163522,102500.0,5,1,0,2,0,0,0,1,0
"ÜSKÜDAR 'DA LOKASYON OLARAK ÇOK MERKEZİ, 2+1 , A-Z'YE EŞYALI, BAKIMLI DAİRE",50000,0,Üsküdar,Aziz Mahmut Hüdayi Mah.,Daire,3,1,1.0,4.0,30,Kombi,0,Betonarme,İkinci El,100,100000,Doğalgaz,https://www.hepsiemlak.com/istanbul-uskudar-aziz-mahmut-hudayi-kiralik/daire/1280-4508,100,85,0,60316.66379310345,45906.25,5,1,0,2,0,0,0,0,1
GÖKTÜRK İZ EVLER SİTESİ'NDE 3+1 DAİRE,70000,0,Eyüpsultan,Göktürk Merkez Mah.,Daire,4,2,1.0,4.0,10,Kombi,0,Betonarme,İkinci El,4900,105000,Doğalgaz,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/1202-97040,178,160,0,65489.622641509435,124123.07692307692,5,1,0,2,0,0,0,0,1
ATAKÖY RETRO 9 RESİDENCE'DE 1+1 KİRALIK DAİRE,38000,0,Bakırköy,Ataköy 7-8-9-10. Kısım Mah.,Residence,2,1,2.0,18.0,4,Merkezi,0,Betonarme,İkinci El,2660,57000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-7-8-9-10-kisim-kiralik/residence/3814-4616,71,65,2,157770.20547945207,52590.90909090909,6,1,0,2,0,0,0,0,1
DİAMOND DAN MAYA KEMER EVLERİ 2.ETAPTA 226 m2 MUHTEŞEM 4+1 KİRALIK SIFIR ÇATI DUBLEKSİ,140000,0,Eyüpsultan,Mimar Sinan Mah.,Daire,5,3,2.0,3.0,1,Merkezi,0,Betonarme,Sıfır,13500,270,Doğalgaz,https://www.hepsiemlak.com/istanbul-eyupsultan-mimar-sinan-kiralik/daire/33208-5842,226,150,0,65489.622641509435,45393.44262295082,6,1,0,1,1,1,0,0,0
SİSLİ MAİN STREET 2+1 WİTH FURNİSHED RENT AVAİLABLE İKAMET YEARLY AND 6 MONTH RENT FLAT,45000,0,Şişli,Merkez Mah.,Daire,3,1,2.0,7.0,25,Kombi,1,Betonarme,İkinci El,3150,67500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/daire/40208-2394,90,80,0,59910.485869565215,68711.29707112971,5,1,0,2,0,0,0,0,1
yeni binada esyalı daire 2+1,15000,0,Fatih,Atikali Mah.,Daire,3,1,-1.0,2.0,70,Kombi,1,Betonarme,İkinci El,100,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-fatih-atikali-kiralik/daire/117866-153,85,80,0,22015.514588859416,18333.333333333332,5,1,0,2,0,1,0,0,0
