Başlık,Fiyat,Şehir,İlçe,Mahalle,Konut Tipi,Oda Sayısı,Brüt / Net M2,Banyo Sayısı,Kat,Kat Sayısı,Bina Yaşı,Isınma Tipi,Eşya Durumu,Yapı Tipi,Yapının Durumu,Aidat,Depozito,Yakıt Tipi,Cephe,Link
ESENYURT CUMHURİYET MAH 1+1 KİRALIK SIFIR SİTE İÇİ ( OTOPARKLI ) METROBÜS YAKINI,12.000 TL,İstanbul,Esenyurt,Barbaros Hayrettin Paşa Mah.,Daire,1 + 1,75 m2  / 55 m2,1,8. Kat,10 Katlı,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Betonarme,Sıfır,550 TL,20.000 TL,Doğalgaz,Güney,https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/142108-121
SIFIR SİTE İÇİ 1+1 KİRALIK DAİRE OTOPARKLI GÜVENLİKLİ SIFIR DAİRE,12.000 TL,İstanbul,Esenyurt,Mehterçeşme Mah.,Daire,1 + 1,95 m2  / 70 m2,1,En Üst Kat,5 Katlı,Sıfır Bina,Kombi,Eşyalı Değil,Betonarme,Sıfır,1.150 TL,20.000 TL,Doğalgaz,"Kuzey, Güney",https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-kiralik/daire/142108-104
ESENYURT MEYDANDA MÜKEMMEL KONUMDA MASRAFSIZ 2+1 KİRALIK DAİRE ( ARAKAT ),14.000 TL,İstanbul,Esenyurt,Yeşilkent Mah.,Daire,2 + 1,100 m2  / 80 m2,1,1. Kat,4 Katlı,3 Yaşında,Kombi,Eşyalı Değil,Betonarme,İkinci El,350 TL,30.000 TL,Doğalgaz,Güney,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-kiralik/daire/142108-97
Sarıyer Rumelikavağı Mahallesinde Deniz Manzaralık Kiralık Daire,50.000 TL,İstanbul,Sarıyer,Rumeli Kavağı Mah.,Daire,4 + 1,160 m2  / 150 m2,2,3. Kat,3 Katlı,49 Yaşında,Kombi,Eşyalı Değil,-,İkinci El,-,100.000 TL,-,Batı,https://www.hepsiemlak.com/istanbul-sariyer-rumeli-kavagi-kiralik/daire/11217-9277
"DİAMOND DAN MAYA KEMER EVLERİ 2.ETAPTA 151 m2, 3+1 KİRALIK BAHÇELİ DAİRE",140.000 TL,İstanbul,Eyüpsultan,Mimar Sinan Mah.,Daire,3 + 1,151 m2  / 111 m2,2,Bahçe Katı,3 Katlı,1 Yaşında,Yerden Isıtma,Eşyalı Değil,Betonarme,Sıfır,13.689 TL,270.000 TL,Doğalgaz,"Güney, Doğu",https://www.hepsiemlak.com/istanbul-eyupsultan-mimar-sinan-kiralik/daire/33208-5819
Diamond Projeden Sarıyer Maden de Kiralık 4+1 Çatı dubleksi 270 m2 Prestijli sitede...,140.000 TL,İstanbul,Sarıyer,Maden Mah.,Daire,4 + 1,270 m2  / 230 m2,3,2. Kat,3 Katlı,7 Yaşında,Kombi,Eşyalı Değil,Betonarme,İkinci El,10.000 TL,300.000 TL,Doğalgaz,"Güney, Doğu",https://www.hepsiemlak.com/istanbul-sariyer-maden-kiralik/daire/33208-5857
Diamond Proje den Zekeriyaköyde Mimari tasarımlı 6+1 350 m2 muhteşem kiralık villa,500.000 TL,İstanbul,Sarıyer,Uskumruköy Mah.,Villa,6 + 1,500 m2  / 350 m2,3,-,3 Katlı,5 Yaşında,Kombi,Eşyalı,Betonarme,İkinci El,5.000 TL,1.500.000 TL,Doğalgaz,"Kuzey, Doğu, Batı",https://www.hepsiemlak.com/istanbul-sariyer-uskumrukoy-kiralik/villa/33208-5852
BEBEK SAHİLDE DENİZ MANZARA ÖZEL TERASLI KİRALIK DUBLEKS,290.000 TL,İstanbul,Beşiktaş,Bebek Mah.,Daire,3 + 1,390 m2  / 310 m2,2,Çatı Katı,3 Katlı,21 Yaşında,Kombi,Eşyalı Değil,Betonarme,İkinci El,1 TL,-,Doğalgaz,"Güney, Doğu, Batı",https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/25444-7048
"ÜSKÜDAR 'DA LOKASYON OLARAK ÇOK MERKEZİ, 2+1 , A-Z'YE EŞYALI, BAKIMLI DAİRE",50.000 TL,İstanbul,Üsküdar,Aziz Mahmut Hüdayi Mah.,Daire,2 + 1,100 m2  / 85 m2,1,1. Kat,4 Katlı,30 Yaşında,Kombi,-,Betonarme,İkinci El,100 TL,100.000 TL,-,-,https://www.hepsiemlak.com/istanbul-uskudar-aziz-mahmut-hudayi-kiralik/daire/1280-4508
GÖKTÜRK İZ EVLER SİTESİ'NDE 3+1 DAİRE,70.000 TL,İstanbul,Eyüpsultan,Göktürk Merkez Mah.,Daire,3 + 1,178 m2  / 160 m2,2,1. Kat,4 Katlı,10 Yaşında,Kombi,-,-,-,-,-,Doğalgaz,-,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/1202-97040
